# Load the data sets
data;

param: X_FACILITY  Y_FACILITY :=
1  -4.690 -2.558
2   1.457  8.164
3  -5.966  7.968
4   8.894  3.216
5   2.582 -8.764
6  -5.881 -6.469
7   3.740 -2.318
8   5.397 -0.046
9   4.352  9.838
10 -2.399  5.549
11  8.694 -5.757
12  3.033 -7.489
13 -4.656 -2.278
14 -9.732 -2.352
15  7.394 -3.193;

param: X_CLIENT  Y_CLIENT :=
1  -0.358  1.991
2  -0.129 -6.276
3   6.547  3.369
4   5.885 -7.841
5   4.474 -1.775
6   6.419  2.941
7   5.659  1.061
8   0.594  5.787
9  -9.533 -0.455
10  4.646  3.855
11 -0.448  7.224
12 -1.238 -5.104
13 -8.586 -8.011
14 -3.675  0.373
15  3.240 -1.863
16  8.258 -4.128
17 -0.819 -3.352
18  3.017 -4.840
19 -0.429  5.326
20 -8.315  7.506
21 -3.219  6.789
22 -3.066 -3.325
23 -0.473  7.844
24  7.287 -2.200
25  5.546  9.212
26 -1.307  4.250
27 -2.000 -3.493
28  5.142 -5.946
29  4.222 -7.566
30 -5.090 -7.134
31 -5.207 -8.821
32  2.846  7.525
33  5.578  5.946
34 -0.895 -1.798
35  6.217  2.099
36  3.094 -2.936
37 -4.595  9.854
38  2.670 -5.736
39 -7.413 -0.438
40  8.481  1.975
41  9.523  4.636
42 -2.865 -1.371
43 -7.036 -9.738
44  4.311 -7.936
45 -1.074  2.802
46  9.837 -0.088
47 -0.313 -6.531
48  5.096 -0.922
49  0.223 -5.849
50 -5.427  1.914
51  1.497 -8.459
52 -9.289  2.856
53  8.572  1.962
54  1.218  0.521
55  9.702  0.153
56  3.656  2.031
57 -5.223 -4.837
58  4.586 -0.949
59 -6.497  4.934
60 -7.900  7.291;

param: DEMAND :=
1       7
2      10
3      15
4      23
5       6
6      23
7      24
8      17
9      16
10      2
11      6
12      5
13     18
14     10
15     20
16     13
17     18
18     25
19     10
20     20
21     24
22      6
23     17
24      4
25      7
26     10
27      1
28     10
29     22
30      9
31     13
32     15
33     13
34      5
35     21
36     17
37     20
38      3
39     19
40     11
41     21
42     17
43     20
44     14
45     14
46     20
47      1
48     12
49     19
50     18
51     12
52     22
53     11
54      7
55      2
56      3
57      8
58     13
59     17
60     11;
